         E      Sigma
3.626470e+000 3.105490e+016
3.636460e+000 3.110231e+016
3.646450e+000 3.114982e+016
3.656440e+000 3.119743e+016
3.666430e+000 3.124515e+016
3.676420e+000 3.129296e+016
3.686410e+000 3.134088e+016
3.696400e+000 3.138890e+016
3.706390e+000 3.143703e+016
3.716380e+000 3.148526e+016
3.726370e+000 3.153359e+016
3.736360e+000 3.158202e+016
3.746350e+000 3.163056e+016
3.756340e+000 3.167920e+016
3.766330e+000 3.172795e+016
3.776320e+000 3.177681e+016
3.786310e+000 3.182576e+016
3.796300e+000 3.187483e+016
3.806290e+000 3.192400e+016
3.816280e+000 3.197327e+016
3.826270e+000 3.202265e+016
3.836260e+000 3.207214e+016
3.846250e+000 3.212174e+016
3.856240e+000 3.217144e+016
3.866230e+000 3.222125e+016
3.876220e+000 3.227117e+016
3.886210e+000 3.232119e+016
3.896200e+000 3.237132e+016
3.906190e+000 3.242157e+016
3.916180e+000 3.247192e+016
3.926170e+000 3.252238e+016
3.936160e+000 3.257295e+016
3.946150e+000 3.262363e+016
3.956140e+000 3.267441e+016
3.966130e+000 3.272531e+016
3.976120e+000 3.277632e+016
3.986110e+000 3.282744e+016
3.996100e+000 3.287867e+016
4.006090e+000 3.293002e+016
4.016080e+000 3.298147e+016
4.026070e+000 3.303304e+016
4.036060e+000 3.308472e+016
4.046050e+000 3.313651e+016
4.056040e+000 3.318841e+016
4.066030e+000 3.324043e+016
4.076020e+000 3.329256e+016
4.086010e+000 3.334480e+016
4.096000e+000 3.339716e+016
4.105990e+000 3.344963e+016
4.115980e+000 3.350222e+016
4.125970e+000 3.355492e+016
4.135960e+000 3.360774e+016
4.145950e+000 3.366067e+016
4.155940e+000 3.371372e+016
4.165930e+000 3.376688e+016
4.175920e+000 3.382016e+016
4.185910e+000 3.387356e+016
4.195900e+000 3.392708e+016
4.205890e+000 3.398071e+016
4.215880e+000 3.403446e+016
4.225870e+000 3.408832e+016
4.235860e+000 3.414231e+016
4.245850e+000 3.419641e+016
4.255840e+000 3.425063e+016
4.265830e+000 3.430498e+016
4.275820e+000 3.435944e+016
4.285810e+000 3.441402e+016
4.295800e+000 3.446872e+016
4.305790e+000 3.452354e+016
4.315780e+000 3.457848e+016
4.325770e+000 3.463355e+016
4.335760e+000 3.468873e+016
4.345750e+000 3.474404e+016
4.355740e+000 3.479946e+016
4.365730e+000 3.485501e+016
4.375720e+000 3.491069e+016
4.385710e+000 3.496648e+016
4.395700e+000 3.502240e+016
4.405690e+000 3.507844e+016
4.415680e+000 3.513461e+016
4.425670e+000 3.519090e+016
4.435660e+000 3.524731e+016
4.445650e+000 3.530385e+016
4.455640e+000 3.536052e+016
4.465630e+000 3.541731e+016
4.475620e+000 3.547422e+016
4.485610e+000 3.553126e+016
4.495600e+000 3.558843e+016
4.505590e+000 3.564573e+016
4.515580e+000 3.570315e+016
4.525570e+000 3.576070e+016
4.535560e+000 3.581838e+016
4.545550e+000 3.587618e+016
4.555540e+000 3.593412e+016
4.565530e+000 3.599218e+016
4.575520e+000 3.605037e+016
4.585510e+000 3.610869e+016
4.595500e+000 3.616714e+016
4.605490e+000 3.622573e+016
4.615480e+000 3.628444e+016
4.625470e+000 3.634328e+016
4.635460e+000 3.640225e+016
4.645450e+000 3.646136e+016
4.655440e+000 3.652059e+016
4.665430e+000 3.657996e+016
4.675420e+000 3.663946e+016
4.685410e+000 3.669910e+016
4.695400e+000 3.675887e+016
4.705390e+000 3.681877e+016
4.715380e+000 3.687880e+016
4.725370e+000 3.693897e+016
4.735360e+000 3.699927e+016
4.745350e+000 3.705971e+016
4.755340e+000 3.712029e+016
4.765330e+000 3.718100e+016
4.775320e+000 3.724184e+016
4.785310e+000 3.730282e+016
4.795300e+000 3.736394e+016
4.805290e+000 3.742520e+016
4.815280e+000 3.748659e+016
4.825270e+000 3.754812e+016
4.835260e+000 3.760979e+016
4.845250e+000 3.767159e+016
4.855240e+000 3.773354e+016
4.865230e+000 3.779562e+016
4.875220e+000 3.785785e+016
4.885210e+000 3.792021e+016
4.895200e+000 3.798272e+016
4.905190e+000 3.804536e+016
4.915180e+000 3.810815e+016
4.925170e+000 3.817107e+016
4.935160e+000 3.823414e+016
4.945150e+000 3.829735e+016
4.955140e+000 3.836071e+016
4.965130e+000 3.842420e+016
4.975120e+000 3.848784e+016
4.985110e+000 3.855163e+016
4.995100e+000 3.861555e+016
5.005090e+000 3.867962e+016
5.015080e+000 3.874384e+016
5.025070e+000 3.880820e+016
5.035060e+000 3.887271e+016
5.045050e+000 3.893736e+016
5.055040e+000 3.900216e+016
5.065030e+000 3.906710e+016
5.075020e+000 3.913219e+016
5.085010e+000 3.919743e+016
5.095000e+000 3.926282e+016
5.104990e+000 3.932835e+016
5.114980e+000 3.939404e+016
5.124970e+000 3.945987e+016
5.134960e+000 3.952585e+016
5.144950e+000 3.959198e+016
5.154940e+000 3.965826e+016
5.164930e+000 3.972469e+016
5.174920e+000 3.979127e+016
5.184910e+000 3.985800e+016
5.194900e+000 3.992489e+016
5.204890e+000 3.999192e+016
5.214880e+000 4.005911e+016
5.224870e+000 4.012645e+016
5.234860e+000 4.019395e+016
5.244850e+000 4.026159e+016
5.254840e+000 4.032939e+016
5.264830e+000 4.039735e+016
5.274820e+000 4.046546e+016
5.284810e+000 4.053372e+016
5.294800e+000 4.060215e+016
5.304790e+000 4.067072e+016
5.314780e+000 4.073945e+016
5.324770e+000 4.080834e+016
5.334760e+000 4.087739e+016
5.344750e+000 4.094659e+016
5.354740e+000 4.101595e+016
5.364730e+000 4.108547e+016
5.374720e+000 4.115515e+016
5.384710e+000 4.122499e+016
5.394700e+000 4.129499e+016
5.404690e+000 4.136514e+016
5.414680e+000 4.143546e+016
5.424670e+000 4.150594e+016
5.434660e+000 4.157658e+016
5.444650e+000 4.164738e+016
5.454640e+000 4.171834e+016
5.464630e+000 4.178946e+016
5.474620e+000 4.186075e+016
5.484610e+000 4.193220e+016
5.494600e+000 4.200381e+016
5.504590e+000 4.207559e+016
5.514580e+000 4.214753e+016
5.524570e+000 4.221964e+016
5.534560e+000 4.229191e+016
5.544550e+000 4.236435e+016
5.554540e+000 4.243695e+016
5.564530e+000 4.250972e+016
5.574520e+000 4.258266e+016
5.584510e+000 4.265576e+016
5.594500e+000 4.272904e+016
5.604490e+000 4.280248e+016
5.614480e+000 4.287608e+016
5.624470e+000 4.294986e+016
5.634460e+000 4.302381e+016
5.644450e+000 4.309793e+016
5.654440e+000 4.317221e+016
5.664430e+000 4.324667e+016
5.674420e+000 4.332130e+016
5.684410e+000 4.339610e+016
5.694400e+000 4.347107e+016
5.704390e+000 4.354622e+016
5.714380e+000 4.362154e+016
5.724370e+000 4.369703e+016
5.734360e+000 4.377269e+016
5.744350e+000 4.384853e+016
5.754340e+000 4.392455e+016
5.764330e+000 4.400074e+016
5.774320e+000 4.407710e+016
5.784310e+000 4.415364e+016
5.794300e+000 4.423036e+016
5.804290e+000 4.430725e+016
5.814280e+000 4.438432e+016
5.824270e+000 4.446157e+016
5.834260e+000 4.453900e+016
5.844250e+000 4.461660e+016
5.854240e+000 4.469439e+016
5.864230e+000 4.477235e+016
5.874220e+000 4.485049e+016
5.884210e+000 4.492882e+016
5.894200e+000 4.500732e+016
5.904190e+000 4.508601e+016
5.914180e+000 4.516487e+016
5.924170e+000 4.524392e+016
5.934160e+000 4.532316e+016
5.944150e+000 4.540257e+016
5.954140e+000 4.548217e+016
5.964130e+000 4.556195e+016
5.974120e+000 4.564192e+016
5.984110e+000 4.572207e+016
5.994100e+000 4.580241e+016
6.004090e+000 4.588293e+016
6.014080e+000 4.596364e+016
6.024070e+000 4.604454e+016
6.034060e+000 4.612562e+016
6.044050e+000 4.620689e+016
6.054040e+000 4.628835e+016
6.064030e+000 4.637000e+016
6.074020e+000 4.645183e+016
6.084010e+000 4.653386e+016
6.094000e+000 4.661608e+016
6.103990e+000 4.669848e+016
6.113980e+000 4.678108e+016
6.123970e+000 4.686387e+016
6.133960e+000 4.694685e+016
6.143950e+000 4.703002e+016
6.153940e+000 4.711338e+016
6.163930e+000 4.719694e+016
6.173920e+000 4.728069e+016
6.183910e+000 4.736464e+016
6.193900e+000 4.744878e+016
6.203890e+000 4.753311e+016
6.213880e+000 4.761764e+016
6.223870e+000 4.770237e+016
6.233860e+000 4.778729e+016
6.243850e+000 4.787241e+016
6.253840e+000 4.795773e+016
6.263830e+000 4.804325e+016
6.273820e+000 4.812896e+016
6.283810e+000 4.821487e+016
6.293800e+000 4.830098e+016
6.303790e+000 4.838729e+016
6.313780e+000 4.847381e+016
6.323770e+000 4.856052e+016
6.333760e+000 4.864743e+016
6.343750e+000 4.873455e+016
6.353740e+000 4.882186e+016
6.363730e+000 4.890938e+016
6.373720e+000 4.899711e+016
6.383710e+000 4.908503e+016
6.393700e+000 4.917316e+016
6.403690e+000 4.926150e+016
6.413680e+000 4.935004e+016
6.423670e+000 4.943878e+016
6.433660e+000 4.952774e+016
6.443650e+000 4.961689e+016
6.453640e+000 4.970626e+016
6.463630e+000 4.979583e+016
6.473620e+000 4.988561e+016
6.483610e+000 4.997560e+016
6.493600e+000 5.006580e+016
6.503590e+000 5.015621e+016
6.513580e+000 5.024682e+016
6.523570e+000 5.033765e+016
6.533560e+000 5.042869e+016
6.543550e+000 5.051994e+016
6.553540e+000 5.061140e+016
6.563530e+000 5.070307e+016
6.573520e+000 5.079496e+016
6.583510e+000 5.088706e+016
6.593500e+000 5.097937e+016
6.603490e+000 5.107190e+016
6.613480e+000 5.116464e+016
6.623470e+000 5.125760e+016
6.633460e+000 5.135078e+016
6.643450e+000 5.144417e+016
6.653440e+000 5.153777e+016
6.663430e+000 5.163160e+016
6.673420e+000 5.172564e+016
6.683410e+000 5.181990e+016
6.693400e+000 5.191438e+016
6.703390e+000 5.200907e+016
6.713380e+000 5.210399e+016
6.723370e+000 5.219913e+016
6.733360e+000 5.229449e+016
6.743350e+000 5.239006e+016
6.753340e+000 5.248587e+016
6.763330e+000 5.258189e+016
6.773320e+000 5.267813e+016
6.783310e+000 5.277460e+016
6.793300e+000 5.287130e+016
6.803290e+000 5.296821e+016
6.813280e+000 5.306535e+016
6.823270e+000 5.316272e+016
6.833260e+000 5.326031e+016
6.843250e+000 5.335813e+016
6.853240e+000 5.345617e+016
6.863230e+000 5.355445e+016
6.873220e+000 5.365295e+016
6.883210e+000 5.375167e+016
6.893200e+000 5.385063e+016
6.903190e+000 5.394981e+016
6.913180e+000 5.404923e+016
6.923170e+000 5.414887e+016
6.933160e+000 5.424875e+016
6.943150e+000 5.434886e+016
6.953140e+000 5.444919e+016
6.963130e+000 5.454976e+016
6.973120e+000 5.465057e+016
6.983110e+000 5.475160e+016
6.993100e+000 5.485287e+016
7.003090e+000 5.495437e+016
7.013080e+000 5.505611e+016
7.023070e+000 5.515809e+016
7.033060e+000 5.526029e+016
7.043050e+000 5.536274e+016
7.053040e+000 5.546542e+016
7.063030e+000 5.556834e+016
7.073020e+000 5.567149e+016
7.083010e+000 5.577489e+016
7.093000e+000 5.587852e+016
7.102990e+000 5.598239e+016
7.112980e+000 5.608650e+016
7.122970e+000 5.619085e+016
7.132960e+000 5.629544e+016
7.142950e+000 5.640028e+016
7.152940e+000 5.650535e+016
7.162930e+000 5.661066e+016
7.172920e+000 5.671622e+016
7.182910e+000 5.682202e+016
7.192900e+000 5.692807e+016
7.202890e+000 5.703436e+016
7.212880e+000 5.714089e+016
7.222870e+000 5.724767e+016
7.232860e+000 5.735469e+016
7.242850e+000 5.746196e+016
7.252840e+000 5.756947e+016
7.262830e+000 5.767724e+016
7.272820e+000 5.778525e+016
7.282810e+000 5.789350e+016
7.292800e+000 5.800201e+016
7.302790e+000 5.811076e+016
7.312780e+000 5.821977e+016
7.322770e+000 5.832902e+016
7.332760e+000 5.843853e+016
7.342750e+000 5.854828e+016
7.352740e+000 5.865829e+016
7.362730e+000 5.876854e+016
7.372720e+000 5.887905e+016
7.382710e+000 5.898982e+016
7.392700e+000 5.910083e+016
7.402690e+000 5.921210e+016
7.412680e+000 5.932362e+016
7.422670e+000 5.943540e+016
7.432660e+000 5.954743e+016
7.442650e+000 5.965972e+016
7.452640e+000 5.977227e+016
7.462630e+000 5.988507e+016
7.472620e+000 5.999813e+016
7.482610e+000 6.011144e+016
7.492600e+000 6.022501e+016
7.502590e+000 6.033884e+016
7.512580e+000 6.045293e+016
7.522570e+000 6.056728e+016
7.532560e+000 6.068189e+016
7.542550e+000 6.079676e+016
7.552540e+000 6.091189e+016
7.562530e+000 6.102728e+016
7.572520e+000 6.114294e+016
7.582510e+000 6.125885e+016
7.592500e+000 6.137503e+016
7.602490e+000 6.149147e+016
7.612480e+000 6.160817e+016
7.622470e+000 6.172514e+016
7.632460e+000 6.184237e+016
7.642450e+000 6.195987e+016
7.652440e+000 6.207763e+016
7.662430e+000 6.219566e+016
7.672420e+000 6.231395e+016
7.682410e+000 6.243251e+016
7.692400e+000 6.255134e+016
7.702390e+000 6.267044e+016
7.712380e+000 6.278980e+016
7.722370e+000 6.290943e+016
7.732360e+000 6.302933e+016
7.742350e+000 6.314950e+016
7.752340e+000 6.326994e+016
7.762330e+000 6.339064e+016
7.772320e+000 6.351162e+016
7.782310e+000 6.363287e+016
7.792300e+000 6.375439e+016
7.802290e+000 6.387619e+016
7.812280e+000 6.399825e+016
7.822270e+000 6.412059e+016
7.832260e+000 6.424320e+016
7.842250e+000 6.436609e+016
7.852240e+000 6.448924e+016
7.862230e+000 6.461268e+016
7.872220e+000 6.473638e+016
7.882210e+000 6.486036e+016
7.892200e+000 6.498462e+016
7.902190e+000 6.510916e+016
7.912180e+000 6.523397e+016
7.922170e+000 6.535905e+016
7.932160e+000 6.548441e+016
7.942150e+000 6.561006e+016
7.952140e+000 6.573597e+016
7.962130e+000 6.586217e+016
7.972120e+000 6.598865e+016
7.982110e+000 6.611540e+016
7.992100e+000 6.624244e+016
8.002090e+000 6.636975e+016
8.012080e+000 6.649734e+016
8.022070e+000 6.662522e+016
8.032060e+000 6.675337e+016
8.042050e+000 6.688181e+016
8.052040e+000 6.701053e+016
8.062030e+000 6.713953e+016
8.072020e+000 6.726881e+016
8.082010e+000 6.739837e+016
8.092000e+000 6.752822e+016
8.101990e+000 6.765835e+016
8.111980e+000 6.778877e+016
8.121970e+000 6.791947e+016
8.131960e+000 6.805045e+016
8.141950e+000 6.818172e+016
8.151940e+000 6.831327e+016
8.161930e+000 6.844511e+016
8.171920e+000 6.857724e+016
8.181910e+000 6.870965e+016
8.191900e+000 6.884234e+016
8.201890e+000 6.897533e+016
8.211880e+000 6.910860e+016
8.221870e+000 6.924216e+016
8.231860e+000 6.937600e+016
8.241850e+000 6.951014e+016
8.251840e+000 6.964456e+016
8.261830e+000 6.977927e+016
8.271820e+000 6.991427e+016
8.281810e+000 7.004955e+016
8.291800e+000 7.018513e+016
8.301790e+000 7.032100e+016
8.311780e+000 7.045716e+016
8.321770e+000 7.059360e+016
8.331760e+000 7.073034e+016
8.341750e+000 7.086737e+016
8.351740e+000 7.100469e+016
8.361730e+000 7.114230e+016
8.371720e+000 7.128020e+016
8.381710e+000 7.141840e+016
8.391700e+000 7.155688e+016
8.401690e+000 7.169566e+016
8.411680e+000 7.183473e+016
8.421670e+000 7.197409e+016
8.431660e+000 7.211375e+016
8.441650e+000 7.225370e+016
8.451640e+000 7.239394e+016
8.461630e+000 7.253448e+016
8.471620e+000 7.267531e+016
8.481610e+000 7.281643e+016
8.491600e+000 7.295785e+016
8.501590e+000 7.309956e+016
8.511580e+000 7.324156e+016
8.521570e+000 7.338387e+016
8.531560e+000 7.352646e+016
8.541550e+000 7.366935e+016
8.551540e+000 7.381254e+016
8.561530e+000 7.395602e+016
8.571520e+000 7.409980e+016
8.581510e+000 7.424387e+016
8.591500e+000 7.438824e+016
8.601490e+000 7.453290e+016
8.611480e+000 7.467786e+016
8.621470e+000 7.482312e+016
8.631460e+000 7.496867e+016
8.641450e+000 7.511452e+016
8.651440e+000 7.526067e+016
8.661430e+000 7.540711e+016
8.671420e+000 7.555385e+016
8.681410e+000 7.570088e+016
8.691400e+000 7.584822e+016
8.701390e+000 7.599585e+016
8.711380e+000 7.614377e+016
8.721370e+000 7.629200e+016
8.731360e+000 7.644052e+016
8.741350e+000 7.658933e+016
8.751340e+000 7.673845e+016
8.761330e+000 7.688786e+016
8.771320e+000 7.703757e+016
8.781310e+000 7.718758e+016
8.791300e+000 7.733788e+016
8.801290e+000 7.748848e+016
8.811280e+000 7.763938e+016
